iso,country,ndc,date,num_words,biodiversity_freq_per_10000,fisheries_freq_per_10000,ocean ecosystems_freq_per_10000,coastal impacts_freq_per_10000,blue economy_freq_per_10000,policy_freq_per_10000,industry_freq_per_10000,pollutants/waste_freq_per_10000,climate change_freq_per_10000,law_freq_per_10000,coastal development_freq_per_10000,turbidity_freq_per_10000,justice_freq_per_10000,natural disasters_freq_per_10000,habitat loss_freq_per_10000,pelagic_freq_per_10000,wetland_freq_per_10000,sediment_freq_per_10000,ocean_freq_per_10000,funding_freq_per_10000,algal bloom_freq_per_10000,antarctic_freq_per_10000,long-line fisheries_freq_per_10000,deoxygenation_freq_per_10000,wastewater_freq_per_10000,sealevel rise_freq_per_10000,SIDS_freq_per_10000,global warming_freq_per_10000,offshore_freq_per_10000,coast_freq_per_10000,seabirds_freq_per_10000,sanitation_freq_per_10000,aquaculture_freq_per_10000,seagrass_freq_per_10000,oxygen_freq_per_10000,sustanability_freq_per_10000,marine_freq_per_10000,deep ocean_freq_per_10000,sargassum_freq_per_10000,hypoxia_freq_per_10000,acidification_freq_per_10000,contaminants_freq_per_10000,offshore wind_freq_per_10000,maritime_freq_per_10000,jurisdiction_freq_per_10000,exploitation_freq_per_10000,oil spills_freq_per_10000,small island developing nations_freq_per_10000,estuary_freq_per_10000,protected species_freq_per_10000,algae_freq_per_10000,blue carbon_freq_per_10000,mangrove_freq_per_10000,hurricane_freq_per_10000,fracking_freq_per_10000,arctic_freq_per_10000,sealevel_freq_per_10000,fertilizers_freq_per_10000,plastics_freq_per_10000,enforcement_freq_per_10000,reef_freq_per_10000,ice melt_freq_per_10000,persistant organic pollutants_freq_per_10000,commercial shipping_freq_per_10000,sea_freq_per_10000,bycatch_freq_per_10000,plankton_freq_per_10000,disaster relief_freq_per_10000,fish_freq_per_10000,conservation_freq_per_10000,seafood industry_freq_per_10000,eutrophication_freq_per_10000,oil_freq_per_10000,endangered species_freq_per_10000,marine mammals_freq_per_10000,benthos_freq_per_10000,underwater noise_freq_per_10000,trawling_freq_per_10000,microplastics_freq_per_10000,overfishing_freq_per_10000,marsh_freq_per_10000,sewage_freq_per_10000,marine research_freq_per_10000,ocean warming_freq_per_10000,kelp forest_freq_per_10000,ecotourism_freq_per_10000,oil drilling_freq_per_10000,coral_freq_per_10000,tsunami_freq_per_10000,resource management_freq_per_10000,heavy metals_freq_per_10000,international waters_freq_per_10000,marine protected areas_freq_per_10000,keyword_freq_per_10000,numeric_code
AFG,Afghanistan,1,11/23/16,3564,0.0,0.0,8.417508417508417,0.0,0.0,61.72839506172839,16.835016835016834,8.417508417508417,5.611672278338945,0.0,0.0,0.0,0.0,2.8058361391694726,0.0,0.0,0.0,0.0,0.0,19.64085297418631,0.0,0.0,0.0,0.0,8.417508417508417,0.0,28.058361391694724,2.8058361391694726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22334455667789,0.0,0.0,0.0,0.0,0.0,0.0,8.417508417508417,0.0,0.0,0.0,0.0,8.417508417508417,0.0,0.0,5.611672278338945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.611672278338945,0.0,0.0,0.0,101.01010101010102,4
ALB,Albania,2,10/12/21,68451,48.501848037282144,11.687192298140275,51.861915822997474,59.75077062424216,0.0,55.36807351243955,14.755080276402097,10.810652875779756,2.3374384596280553,7.742764897517932,0.0,0.0,0.14608990372675346,0.7304495186337672,0.8765394223605206,0.8765394223605206,8.327124512424946,1.606988940994288,0.2921798074535069,2.3374384596280553,0.0,0.0,0.0,0.0,7.012315378884165,0.5843596149070138,40.46690333231071,1.022629326087274,0.0,41.05126294721772,0.0,0.7304495186337672,11.687192298140275,0.0,2.9217980745350687,0.0,5.259236534163123,0.0,0.0,0.0,0.0,0.4382697111802603,0.0,0.2921798074535069,0.0,3.0678879782618225,0.0,0.0,0.7304495186337672,0.0,0.4382697111802603,0.0,0.0,0.0,0.0,0.0,0.8765394223605206,4.528787015529357,0.4382697111802603,1.606988940994288,0.0,0.0,0.0,0.0,42.3660720807585,0.0,0.2921798074535069,0.0,30.240610071437963,2.1913485559013015,0.0,0.14608990372675346,6.135775956523645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4382697111802603,0.5843596149070138,0.0,0.0,0.0,0.7304495186337672,0.0,0.0,0.0,0.14608990372675346,0.0,0.0,0.7304495186337672,230.09159836963667,8
DZA,Algeria,1,10/20/16,3222,0.0,0.0,6.207324643078833,9.31098696461825,0.0,34.14028553693358,6.207324643078833,0.0,9.31098696461825,0.0,0.0,0.0,0.0,3.1036623215394163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.14028553693358,6.207324643078833,0.0,9.31098696461825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.207324643078833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.207324643078833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.17690875232775,12
AND,Andorra,2,5/20/20,13452,1.486767766874814,0.0,5.947071067499256,1.486767766874814,0.0,50.55010407374368,2.973535533749628,1.486767766874814,3.7169194171870354,28.991971454058874,0.0,0.0,0.0,0.0,0.0,0.0,0.743383883437407,0.0,0.0,5.947071067499256,0.0,0.0,0.0,0.0,1.486767766874814,0.0,14.867677668748142,3.7169194171870354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743383883437407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.947071067499256,0.0,0.0,0.0,0.0,0.743383883437407,0.0,0.0,2.230151650312221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.41778174249183,20
AGO,Angola,2,5/31/21,27976,23.949099227909635,2.1446954532456393,38.961967400629106,27.5235916499857,0.0,55.762081784386616,28.595939376608523,3.5744924220760654,8.22133257077495,1.7872462110380327,0.0,0.0,0.0,0.35744924220760654,0.0,0.0,0.0,0.7148984844152131,3.2170431798684587,24.306548470117242,0.0,0.0,0.0,0.0,1.4297969688304262,0.0,26.093794681155273,2.8595939376608523,0.35744924220760654,25.37889619674006,0.0,1.4297969688304262,1.4297969688304262,0.0,0.0,0.0,3.9319416642836718,0.0,0.0,0.0,2.5021446954532456,0.0,0.0,2.8595939376608523,0.0,0.35744924220760654,0.0,0.0,1.0723477266228196,0.0,0.7148984844152131,0.0,0.35744924220760654,0.35744924220760654,0.0,0.0,0.0,1.0723477266228196,0.0,0.0,0.35744924220760654,0.0,0.0,0.0,26.451243923362885,0.0,0.35744924220760654,0.0,22.161853016871603,3.5744924220760654,0.0,0.0,23.949099227909635,0.0,0.0,0.0,0.0,0.0,0.0,0.7148984844152131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.15441807263366,24
ATG,Antigua and Barbuda,2,9/2/21,30962,30.359795878819195,0.9689296557069956,15.179897939409598,25.838124152186552,0.0,65.24126348427104,15.50287449131193,0.0,2.583812415218655,0.9689296557069956,0.0,0.0,1.6148827595116595,0.9689296557069956,0.0,0.0,0.6459531038046638,0.0,1.9378593114139913,37.4652800206705,0.0,0.0,0.0,0.0,0.0,0.3229765519023319,22.60835863316323,0.0,0.0,2.2608358633163235,0.0,0.0,0.9689296557069956,0.6459531038046638,0.0,0.0,3.8757186228279825,0.0,0.0,0.0,0.6459531038046638,0.0,0.0,0.6459531038046638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.962405529358566,0.0,0.0,0.3229765519023319,0.0,0.0,0.3229765519023319,0.0,0.0,0.0,0.0,7.4284606937536335,0.0,0.0,0.0,29.06788967120987,1.2919062076093275,0.0,0.0,14.856921387507267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9689296557069956,0.0,0.0,0.0,151.798979394096,28
ARG,Argentina,2,11/2/21,8762,2.282583884957772,0.0,0.0,2.282583884957772,0.0,39.94521798676101,6.847751654873316,2.282583884957772,4.565167769915544,5.706459712394431,0.0,0.0,9.130335539831089,0.0,0.0,0.0,0.0,0.0,0.0,2.282583884957772,0.0,0.0,0.0,0.0,0.0,0.0,20.543254964619948,4.565167769915544,0.0,2.282583884957772,0.0,2.282583884957772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282583884957772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282583884957772,0.0,2.282583884957772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.282583884957772,0.0,0.0,0.0,2.282583884957772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.20588906642319,32
ARM,Armenia,2,5/5/21,6986,4.2943028914972805,0.0,2.8628685943315197,0.0,0.0,32.92298883481248,11.451474377326079,2.8628685943315197,2.8628685943315197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8628685943315197,0.0,22.902948754652158,2.8628685943315197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8628685943315197,0.0,0.0,0.0,0.0,0.0,0.0,2.8628685943315197,0.0,0.0,0.0,4.2943028914972805,5.7257371886630395,0.0,0.0,8.588605782994561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2943028914972805,0.0,0.0,0.0,57.25737188663041,51
AUS,Australia,2,6/16/22,9866,6.08149199270221,0.0,6.08149199270221,8.108655990269613,0.0,42.57044394891546,0.0,0.0,4.054327995134806,1.0135819987837016,0.0,0.0,0.0,0.0,0.0,0.0,2.027163997567403,0.0,2.027163997567403,10.135819987837015,0.0,0.0,0.0,0.0,0.0,0.0,31.42104196229475,4.054327995134806,0.0,4.054327995134806,0.0,0.0,0.0,0.0,0.0,0.0,2.027163997567403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.027163997567403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.027163997567403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.8149199270221,36
AZE,Azerbaijan,2,10/10/23,7785,0.0,0.0,5.138086062941555,0.0,3.8535645472061657,44.9582530507386,19.26782273603083,1.2845215157353886,2.5690430314707773,5.138086062941555,0.0,0.0,2.5690430314707773,0.0,0.0,0.0,0.0,0.0,0.0,1.2845215157353886,0.0,0.0,0.0,0.0,0.0,0.0,34.68208092485549,2.5690430314707773,3.8535645472061657,0.0,0.0,1.2845215157353886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8535645472061657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.138086062941555,0.0,0.0,0.0,0.0,1.2845215157353886,0.0,0.0,15.414258188824663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.07129094412332,31
